date,AAPL,GOOG,FB
2010-08-20,30.82,230.15,
2010-08-23,30.34,231.17,
2010-08-24,29.62,224.85,
2010-08-25,29.98,226.46,
2010-08-26,29.66,224.65,
2010-08-27,29.83,228.56,
2010-08-30,29.94,225.5,
2010-08-31,30.01,224.17,
2010-09-01,30.9,229.31,
2010-09-02,31.13,230.73,
2010-09-03,31.94,234.27,
2010-09-07,31.83,231.33,
2010-09-08,32.46,234.41,
2010-09-09,32.48,237.2,
2010-09-10,32.52,237.18,
2010-09-13,32.97,240.23,
2010-09-14,33.09,239.32,
2010-09-15,33.36,239.42,
2010-09-16,34.14,239.63,
2010-09-17,33.99,244.16,
2010-09-20,34.96,253.19,
2010-09-21,35.03,255.77,
2010-09-22,35.52,257.04,
2010-09-23,35.67,255.78,
2010-09-24,36.09,262.66,
2010-09-27,35.94,264.21,
2010-09-28,35.41,262.6,
2010-09-29,35.48,262.86,
2010-09-30,35.03,261.91,
2010-10-01,34.88,261.83,
2010-10-04,34.4,260.2,
2010-10-05,35.67,268.11,
2010-10-06,35.7,266.18,
2010-10-07,35.7,264.02,
2010-10-08,36.3,267.17,
2010-10-11,36.46,268.41,
2010-10-12,36.85,269.68,
2010-10-13,37.05,270.64,
2010-10-14,37.32,269.46,
2010-10-15,38.85,299.6,
2010-10-18,39.26,307.7,
2010-10-19,38.21,302.78,
2010-10-20,38.33,302.85,
2010-10-21,38.21,304.85,
2010-10-22,37.96,305.12,
2010-10-25,38.13,307.1,
2010-10-26,38.03,308.14,
2010-10-27,38.0,307.08,
2010-10-28,37.68,308.14,
2010-10-29,37.16,305.7,
2010-11-01,37.55,306.35,
2010-11-02,38.19,306.65,
2010-11-03,38.61,308.93,
2010-11-04,39.29,310.97,
2010-11-05,39.15,311.37,
2010-11-08,39.33,312.21,
2010-11-09,39.02,311.24,
2010-11-10,39.26,310.28,
2010-11-11,39.09,307.44,
2010-11-12,38.03,300.52,
2010-11-15,37.9,296.62,
2010-11-16,37.23,290.77,
2010-11-17,37.1,290.69,
2010-11-18,38.08,297.17,
2010-11-19,37.87,294.31,
2010-11-22,38.68,294.51,
